hid,nombre,direccion,telefono,precio
10,Hilton Florence Metropole,"518 Hall Dam New Jesse, NM 01087",233-347-518,30.0
13,CitizenM Paris,"833 Flores Key Suite 707 South Elizabethchester, IA 08393",799-491-215,50.0
20,The Sanctuary House Hotel,"1281 Robert Mountain Schneidermouth, HI 23898",698-634-912,70.0
15,Le cocon de Leon,"8927 Hurst Harbor Apt. 156 Timothyfort, CA 72308",485-531-155,55.0
3,Domo Vaticano,"7802 Scott Garden Apt. 827 Jerryport, WI 13545",647-252-126,30.0
9,Hotel Jane,"65223 Valdez Viaduct Lake Seanview, WY 97324",214-454-587,23.0
18,PitufiHotel,"PSC 3268, Box 6667 APO AE 63637",241-126-819,20.0
15,Le cocon de Leon,"8927 Hurst Harbor Apt. 156 Timothyfort, CA 72308",485-531-155,55.0
2,Palazzo Coliseo,"8183 Michael Glen Apt. 437 Petersonland, VA 66579",771-764-467,43.0
20,The Sanctuary House Hotel,"1281 Robert Mountain Schneidermouth, HI 23898",698-634-912,70.0
16,Royal Hotel,"37962 Sanders Circles Apt. 357 Port Timothy, TN 24656",315-196-562,30.0
13,CitizenM Paris,"833 Flores Key Suite 707 South Elizabethchester, IA 08393",799-491-215,50.0
7,Hotel delle Nazioni,"511 Karen Neck Terriborough, WV 55292",321-718-523,28.0
1,Hotel Roma,"PSC 1716, Box 5186 APO AP 18920",294-527-692,35.0
1,Hotel Roma,"PSC 1716, Box 5186 APO AP 18920",294-527-692,35.0
19,B&B Hotel Dresden,"703 Garcia Drive Suite 239 West Carolside, NV 09666",633-564-612,35.0
9,Hotel Jane,"65223 Valdez Viaduct Lake Seanview, WY 97324",214-454-587,23.0
17,Hotel Phenix,Unit 6357 Box 9808 DPO AA 45781,282-833-326,38.0
9,Hotel Jane,"65223 Valdez Viaduct Lake Seanview, WY 97324",214-454-587,23.0
21,Hotel Rex Milano,"71677 Theresa Fields Chadchester, TN 58947",527-989-688,21.0
12,Eiffel Hotel,"PSC 4851, Box 9887 APO AP 86712",717-744-934,70.0
17,Hotel Phenix,Unit 6357 Box 9808 DPO AA 45781,282-833-326,38.0
18,PitufiHotel,"PSC 3268, Box 6667 APO AE 63637",241-126-819,20.0
14,Hyatt Regency Chantilly,"9381 Melissa Walks Apt. 623 Port Barbarafurt, MI 38305",441-127-177,50.0
5,DomusAmor Navona,"47081 Rosales Islands Suite 864 Port Sydney, UT 33108",998-171-811,18.0
13,CitizenM Paris,"833 Flores Key Suite 707 South Elizabethchester, IA 08393",799-491-215,50.0
18,PitufiHotel,"PSC 3268, Box 6667 APO AE 63637",241-126-819,20.0
4,Hotel Trastevere,Unit 5444 Box 3960 DPO AE 23180,738-387-267,22.0
18,PitufiHotel,"PSC 3268, Box 6667 APO AE 63637",241-126-819,20.0
3,Domo Vaticano,"7802 Scott Garden Apt. 827 Jerryport, WI 13545",647-252-126,30.0
16,Royal Hotel,"37962 Sanders Circles Apt. 357 Port Timothy, TN 24656",315-196-562,30.0
15,Le cocon de Leon,"8927 Hurst Harbor Apt. 156 Timothyfort, CA 72308",485-531-155,55.0
12,Eiffel Hotel,"PSC 4851, Box 9887 APO AP 86712",717-744-934,70.0
3,Domo Vaticano,"7802 Scott Garden Apt. 827 Jerryport, WI 13545",647-252-126,30.0
8,Hotel Alba Palace,"8300 Kemp Gateway Suite 979 Blackhaven, WV 71663",745-819-474,25.0
4,Hotel Trastevere,Unit 5444 Box 3960 DPO AE 23180,738-387-267,22.0
18,PitufiHotel,"PSC 3268, Box 6667 APO AE 63637",241-126-819,20.0
16,Royal Hotel,"37962 Sanders Circles Apt. 357 Port Timothy, TN 24656",315-196-562,30.0
12,Eiffel Hotel,"PSC 4851, Box 9887 APO AP 86712",717-744-934,70.0
18,PitufiHotel,"PSC 3268, Box 6667 APO AE 63637",241-126-819,20.0
3,Domo Vaticano,"7802 Scott Garden Apt. 827 Jerryport, WI 13545",647-252-126,30.0
12,Eiffel Hotel,"PSC 4851, Box 9887 APO AP 86712",717-744-934,70.0
5,DomusAmor Navona,"47081 Rosales Islands Suite 864 Port Sydney, UT 33108",998-171-811,18.0
19,B&B Hotel Dresden,"703 Garcia Drive Suite 239 West Carolside, NV 09666",633-564-612,35.0
19,B&B Hotel Dresden,"703 Garcia Drive Suite 239 West Carolside, NV 09666",633-564-612,35.0
17,Hotel Phenix,Unit 6357 Box 9808 DPO AA 45781,282-833-326,38.0
17,Hotel Phenix,Unit 6357 Box 9808 DPO AA 45781,282-833-326,38.0
19,B&B Hotel Dresden,"703 Garcia Drive Suite 239 West Carolside, NV 09666",633-564-612,35.0
15,Le cocon de Leon,"8927 Hurst Harbor Apt. 156 Timothyfort, CA 72308",485-531-155,55.0
6,Roma Gondola,"75237 Ross Radial Ashleeburgh, GA 15492",734-544-857,20.0
3,Domo Vaticano,"7802 Scott Garden Apt. 827 Jerryport, WI 13545",647-252-126,30.0
6,Roma Gondola,"75237 Ross Radial Ashleeburgh, GA 15492",734-544-857,20.0
2,Palazzo Coliseo,"8183 Michael Glen Apt. 437 Petersonland, VA 66579",771-764-467,43.0
20,The Sanctuary House Hotel,"1281 Robert Mountain Schneidermouth, HI 23898",698-634-912,70.0
21,Hotel Rex Milano,"71677 Theresa Fields Chadchester, TN 58947",527-989-688,21.0
21,Hotel Rex Milano,"71677 Theresa Fields Chadchester, TN 58947",527-989-688,21.0
18,PitufiHotel,"PSC 3268, Box 6667 APO AE 63637",241-126-819,20.0
7,Hotel delle Nazioni,"511 Karen Neck Terriborough, WV 55292",321-718-523,28.0
16,Royal Hotel,"37962 Sanders Circles Apt. 357 Port Timothy, TN 24656",315-196-562,30.0
3,Domo Vaticano,"7802 Scott Garden Apt. 827 Jerryport, WI 13545",647-252-126,30.0
2,Palazzo Coliseo,"8183 Michael Glen Apt. 437 Petersonland, VA 66579",771-764-467,43.0
3,Domo Vaticano,"7802 Scott Garden Apt. 827 Jerryport, WI 13545",647-252-126,30.0
19,B&B Hotel Dresden,"703 Garcia Drive Suite 239 West Carolside, NV 09666",633-564-612,35.0
8,Hotel Alba Palace,"8300 Kemp Gateway Suite 979 Blackhaven, WV 71663",745-819-474,25.0
1,Hotel Roma,"PSC 1716, Box 5186 APO AP 18920",294-527-692,35.0
20,The Sanctuary House Hotel,"1281 Robert Mountain Schneidermouth, HI 23898",698-634-912,70.0
21,Hotel Rex Milano,"71677 Theresa Fields Chadchester, TN 58947",527-989-688,21.0
21,Hotel Rex Milano,"71677 Theresa Fields Chadchester, TN 58947",527-989-688,21.0
19,B&B Hotel Dresden,"703 Garcia Drive Suite 239 West Carolside, NV 09666",633-564-612,35.0
2,Palazzo Coliseo,"8183 Michael Glen Apt. 437 Petersonland, VA 66579",771-764-467,43.0
9,Hotel Jane,"65223 Valdez Viaduct Lake Seanview, WY 97324",214-454-587,23.0
16,Royal Hotel,"37962 Sanders Circles Apt. 357 Port Timothy, TN 24656",315-196-562,30.0
17,Hotel Phenix,Unit 6357 Box 9808 DPO AA 45781,282-833-326,38.0
11,Montparnasse,"0943 Harmon Ways Collinsburgh, ME 20733",692-622-914,60.0
4,Hotel Trastevere,Unit 5444 Box 3960 DPO AE 23180,738-387-267,22.0
3,Domo Vaticano,"7802 Scott Garden Apt. 827 Jerryport, WI 13545",647-252-126,30.0
4,Hotel Trastevere,Unit 5444 Box 3960 DPO AE 23180,738-387-267,22.0
21,Hotel Rex Milano,"71677 Theresa Fields Chadchester, TN 58947",527-989-688,21.0
11,Montparnasse,"0943 Harmon Ways Collinsburgh, ME 20733",692-622-914,60.0
21,Hotel Rex Milano,"71677 Theresa Fields Chadchester, TN 58947",527-989-688,21.0
19,B&B Hotel Dresden,"703 Garcia Drive Suite 239 West Carolside, NV 09666",633-564-612,35.0
8,Hotel Alba Palace,"8300 Kemp Gateway Suite 979 Blackhaven, WV 71663",745-819-474,25.0
4,Hotel Trastevere,Unit 5444 Box 3960 DPO AE 23180,738-387-267,22.0
17,Hotel Phenix,Unit 6357 Box 9808 DPO AA 45781,282-833-326,38.0
6,Roma Gondola,"75237 Ross Radial Ashleeburgh, GA 15492",734-544-857,20.0
8,Hotel Alba Palace,"8300 Kemp Gateway Suite 979 Blackhaven, WV 71663",745-819-474,25.0
5,DomusAmor Navona,"47081 Rosales Islands Suite 864 Port Sydney, UT 33108",998-171-811,18.0
12,Eiffel Hotel,"PSC 4851, Box 9887 APO AP 86712",717-744-934,70.0
16,Royal Hotel,"37962 Sanders Circles Apt. 357 Port Timothy, TN 24656",315-196-562,30.0
17,Hotel Phenix,Unit 6357 Box 9808 DPO AA 45781,282-833-326,38.0
15,Le cocon de Leon,"8927 Hurst Harbor Apt. 156 Timothyfort, CA 72308",485-531-155,55.0
12,Eiffel Hotel,"PSC 4851, Box 9887 APO AP 86712",717-744-934,70.0
5,DomusAmor Navona,"47081 Rosales Islands Suite 864 Port Sydney, UT 33108",998-171-811,18.0
4,Hotel Trastevere,Unit 5444 Box 3960 DPO AE 23180,738-387-267,22.0
5,DomusAmor Navona,"47081 Rosales Islands Suite 864 Port Sydney, UT 33108",998-171-811,18.0
1,Hotel Roma,"PSC 1716, Box 5186 APO AP 18920",294-527-692,35.0
4,Hotel Trastevere,Unit 5444 Box 3960 DPO AE 23180,738-387-267,22.0
15,Le cocon de Leon,"8927 Hurst Harbor Apt. 156 Timothyfort, CA 72308",485-531-155,55.0
20,The Sanctuary House Hotel,"1281 Robert Mountain Schneidermouth, HI 23898",698-634-912,70.0
1,Hotel Roma,"PSC 1716, Box 5186 APO AP 18920",294-527-692,35.0
